"Date and time",Description,MCC,"Card currency amount, (UAH)","Operation amount","Operation currency","Exchange rate","Commission, (UAH)","Cashback amount, (UAH)",Balance
"26.10.2025 13:41:35",PayPal,4816,-109.64,-109.64,UAH,—,—,—,3913.06
"21.10.2025 12:48:19","From White card",4829,400.0,400.0,UAH,—,—,—,4022.7
"18.10.2025 21:59:33",Київстар,4814,-150.0,-150.0,UAH,—,—,—,3622.7
"17.10.2025 00:48:28","Київстар +380968321635",4814,-1.0,-1.0,UAH,—,—,—,3772.7
"17.10.2025 00:44:33","Transfer to card",4829,-1.04,-1.04,UAH,—,0.04,—,3773.7
"05.10.2025 11:31:09",YouTube,4899,-149.0,-149.0,UAH,—,—,—,3774.74
